URL,Size(byte),# of Outlinks,Content Type
https://www.latimes.com/business/story/2024-01-20/private-us-lander-destroyed-during-reentry-after-failed-mission-to-moon-company-says,311089,216,text/html
https://www.latimes.com/travel/list/los-feliz-los-angeles-guide-things-to-do,589573,334,text/html
https://www.latimes.com/sports/dodgers/story/2024-02-12/dodgers-pitching-rotation-yoshino-yamamoto-tyle-glasnow-andrew-friedman,339678,228,text/html
https://www.latimes.com/sports/lakers,393791,229,text/html
https://www.latimes.com/entertainment-arts/books/story/2024-02-15/philip-marlowe-raymond-chandler-estate,361411,217,text/html
https://www.latimes.com/science/story/2024-02-13/what-is-alaskapox-the-disease-has-claimed-its-first-fatality,326923,230,text/html
https://www.latimes.com/espanol/internacional/articulo/2024-02-10/mexico-supera-a-china-como-la-principal-fuente-de-las-importaciones-de-eeuu,238446,110,text/html
https://www.latimes.com/seniorresources/story/2023-10-06/medicare-advantage-enrollment-is-up-in-socal-and-nationwide-and-with-it-more-options-are-becoming-available,264645,193,text/html
https://www.latimes.com/politics/story/2024-02-09/adam-schiff-california-senate-candidate-trump-impeachment-justice-career,400697,246,text/html
https://www.latimes.com/espanol/california/articulo/2024-01-03/nueva-fafsa-lo-que-hay-que-saber-para-solicitar-ayuda-financiera-universitaria,249418,119,text/html
https://www.latimes.com/local/california/la-me-san-francisco-election-immigration-20181026-story.html,325591,217,text/html
https://www.latimes.com/california/story/2023-10-06/latino-political-power-los-angeles-future,362292,255,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-02-12/time-for-discipline-in-killers-flower-moon,281644,201,text/html
https://www.latimes.com/bestcovery/home,137141,72,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2022-06-24/doctor-who-worked-an-infected-abortion-ward-in-1960-roe-vs-wade,302106,214,text/html
https://www.latimes.com/sports/usc/story/2024-02-15/usc-defensive-coaches-lynn-lincoln-riley,326752,224,text/html
https://www.latimes.com/california,489975,296,text/html
https://www.latimes.com/california/story/2024-02-01/2024-california-election-lausd-district-5-primary-voter-guide,421163,244,text/html
https://www.latimes.com/sports/highschool,406339,244,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-02-09/wonder-man-crew-member-death-radford-studios-family-statement-iatse,332210,224,text/html
https://www.latimes.com/california/story/2024-02-01/csu-plans-to-expand-student-grants-to-cover-full-tuition-and-living-expenses,321066,218,text/html
https://www.latimes.com/lifestyle/image/story/2024-02-02/ozzie-juarez-designs-nascar-trophy,330049,214,text/html
https://www.latimes.com/lifestyle/image/story/2024-01-18/january-drip-index,343870,220,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-02-15/america-ferrera-barbie-feature-director,302395,217,text/html
https://www.latimes.com/opinion/story/2023-12-28/latino-vote-republicans-democrats-biden-trump-election-2024,330669,226,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-14/jennifer-lopez-presento-this-is-me-now-a-love-story-en-hollywood-junto-a-su-amor-ben-affleck,259335,103,text/html
https://www.latimes.com/bestcovery/electronics,146230,85,text/html
https://www.latimes.com/opinion/story/2021-12-10/illegal-abortion-killed-her-classmate-63-years-ago-hear-me-out,303808,213,text/html
https://www.latimes.com/california/story/2024-02-08/clean-and-secure-the-tagged-high-rise-or-well-do-it-for-you-l-a-warns-complex-owners,320788,219,text/html
https://www.latimes.com/b2bpublishing/story/2024-01-23/start-the-new-year-with-50-off-sams-club-membership,268885,196,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-12-25/sugerencias-para-reducir-el-estres-financiero-durante-las-festividades-navidenas,245516,111,text/html
https://www.latimes.com/science/story/2024-01-21/nasa-finally-figures-out-how-to-open-a-1-billion-canister,325747,232,text/html
https://www.latimes.com/topic/op-ed,384867,233,text/html
https://www.latimes.com/sports/dodgers/story/2024-02-08/dodgers-clayton-kershaw-surgery-spring-training-return,330633,224,text/html
https://www.latimes.com/environment/story/2024-02-15/ev-electric-vehicles-california-charging-stations,321568,216,text/html
